Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
23,84.03,88.75,KP,1254,96.33,77.05
23,83.03,90.95,KP,666,75.46,77.05
23,85.12,76.89,KP,934,80.61,68.53
23,68.39,68.87,KP,380,32.94,54.97
23,93.17,87.07,KP,847,86.43,76.64
23,81.73,87.12,KP,879,59.58,67.11
23,84.44,89.31,KP,281,58.33,56.7
23,56.34,74.21,KP,127,20.66,64.55
23,75.84,68.55,KP,557,39.3,58.21
23,90.13,97.98,Punjab,712,86.84,81.8
23,88.6,90.54,Punjab,1310,88.93,67.94
23,89.14,83.38,Punjab,1153,96.29,61.49
23,82.03,71.48,Punjab,866,97.61,71.68
23,92.75,97.79,Punjab,676,94.96,84.75
23,86.8,66.29,Punjab,439,99.26,66.28
23,71.45,74.91,Punjab,861,80.34,49.42
23,89.05,96.3,Punjab,1164,98.36,80.99
23,84.89,93.42,Punjab,974,96.74,77.18
23,91.81,93.03,Punjab,865,98.69,77.76
23,88.67,94.09,Punjab,377,97.26,76.83
23,88.47,90.82,Punjab,1100,98.94,72.33
23,86.13,97.69,Punjab,467,88.11,77.7
23,89.65,95.69,Punjab,925,98.18,71.94
23,85.68,86.92,Punjab,651,98.28,71.81
23,82.24,82.31,Punjab,576,85.8,67.5
23,83.96,92.61,Punjab,598,97.69,84.12
23,88.07,88.16,Punjab,901,98.82,74.09
23,87.8,87.37,Punjab,497,91.36,67.33
23,86.27,97.51,Punjab,,98.59,80.72
23,87.69,76.96,Punjab,904,94.76,67.88
23,89.14,85.71,Punjab,886,97.95,67.78
23,86.05,78.81,Punjab,1284,96.76,59.27
23,77.43,92.16,Punjab,431,98.25,67.47
23,83.44,94.52,Punjab,787,96.17,79.78
23,86.55,90.33,Punjab,803,97.83,73.81
23,85.37,80.83,Punjab,550,95.37,69.76
23,78.76,80.44,Punjab,1786,91.38,62.4
23,84.21,56.29,Punjab,571,82.19,47.81
23,87.61,93.47,Punjab,1181,88.22,86.8
23,87.88,93.57,Punjab,636,99.58,72.97
23,78.19,91.32,Punjab,1127,91.39,76.96
23,87.42,99.3,Punjab,818,95.62,82.51
23,83.58,92.76,Punjab,1203,95.59,81.52
23,90.74,88.42,Punjab,673,98.74,81.14
23,91.01,90.46,Punjab,879,96.54,70.23
23,37.87,70.55,Sindh,147,61.05,52.14
23,29.67,83.86,Sindh,984,38.22,62.41
23,24.69,69.46,Sindh,633,68.48,58.93
23,37.23,86.32,Sindh,326,59.56,67.32
23,11.4,90.98,Sindh,426,34.06,53.56
23,22.15,68.07,Sindh,213,33.42,47.55
23,18.37,70.16,Sindh,696,34.83,51.99
23,32.74,88,Sindh,1509,60.82,72.48
23,11.77,71.92,Sindh,573,40.78,50.9
23,34.33,79.06,Sindh,358,79.52,57.54
23,35.31,66.94,Sindh,637,80.15,62.38
23,27.3,76.74,Sindh,5,62.78,54.67
23,27.13,74.98,Sindh,656,28.95,49.86
23,27.55,81.03,Sindh,937,81.04,63.61
23,26.58,71.64,Sindh,981,41.31,58.38
23,37.76,79.63,Sindh,741,71.87,58.84
23,18.27,78.11,Sindh,737,56.3,56.76
23,22.8,72.85,Sindh,301,72.4,63.05
23,25.97,77.43,Sindh,159,47.79,58.84
23,32.27,70.67,Sindh,0,46.52,47.93
23,31.51,84.63,Sindh,90,17.68,52.98
23,21.44,80.63,Sindh,26,17.97,43.86
23,30.98,72.73,Sindh,186,22.14,47.76
16,36.99422,94.717157,AJK,325,28.530259,79.360533
16,33.574879,90.347619,AJK,246,31.400966,78.113014
16,37.05036,95.449773,AJK,262,16.487455,80.272192
